:nemesis	:info	:start-partition	:one
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"4dcd367a-1609-4ead-9e12-487b23718008"
2	:ok	:generate	"f530af9b-7eed-4ba7-bfec-52a029f1840e"
0	:ok	:generate	"6ff5be8c-c164-4f65-8f62-01b31ed3a35d"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"b30cdeac-da8d-4692-b7e9-5666ff9a9bec"
2	:invoke	:generate	nil
1	:ok	:generate	"1efe1df9-2781-45fc-8d7b-0b98e40637d3"
2	:ok	:generate	"6a9cb2b2-89ca-4169-91fb-c153bf8ad395"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"899eef1f-6522-4c68-ae35-f3945c2bd14c"
2	:ok	:generate	"4b65a7f1-acea-488c-8f06-7b8b70015dde"
1	:ok	:generate	"9d3676a4-5ac4-484a-bc8a-47889cf7cfca"
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
2	:invoke	:generate	nil
2	:ok	:generate	"6d9a5174-7dc5-494e-9fb8-497a6f5583cd"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"9b496594-b3d2-4c67-91bf-07b2c5fd75a9"
1	:ok	:generate	"584728ec-c8af-4c8d-8cef-6a1a6d43093f"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"48b61516-cacd-4a01-8003-7054008ba096"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"0a9cfd15-5219-44ad-88e7-527656e2167f"
2	:invoke	:generate	nil
1	:ok	:generate	"47414245-40eb-4250-9f77-8d510958c9d8"
1	:invoke	:generate	nil
0	:ok	:generate	"8b798825-ebdf-45c9-ac9d-1403c5ea19eb"
0	:invoke	:generate	nil
2	:ok	:generate	"c38d7f5c-d23d-4c7c-b29a-d49bdd864533"
1	:ok	:generate	"860ce25c-58e0-4df8-94a4-cdab57b2ba9d"
1	:invoke	:generate	nil
0	:ok	:generate	"f6d28b6e-62e1-4377-8edd-7b81a2ad8b9f"
1	:ok	:generate	"e248390d-8848-4f59-b930-d98112bcd3fa"
1	:invoke	:generate	nil
1	:ok	:generate	"1b7397da-ed1e-423f-b2fc-72a942f95e7e"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"5566a6b0-0020-44f8-822c-44c2b9952129"
1	:invoke	:generate	nil
0	:ok	:generate	"dce54b51-5c8e-42c6-ac00-2266f7aa8eb4"
1	:ok	:generate	"1cdbfcde-ced1-4c66-9203-19e512792600"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"42fdfb05-6195-4cf6-9d83-b0d5fb887c24"
1	:ok	:generate	"5f4ff78c-8035-4d14-a3de-b6b6976f41e1"
1	:invoke	:generate	nil
0	:ok	:generate	"34a43f96-072c-406a-886b-d38e45be9421"
2	:invoke	:generate	nil
1	:ok	:generate	"6bd9dde6-d3e2-4bd9-9710-fc1decfd6a04"
0	:invoke	:generate	nil
2	:ok	:generate	"09bcd69d-3747-410a-9cec-e1d3d167b35d"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"92a5a538-18e8-4497-adf1-fa3465a7e523"
1	:ok	:generate	"51f5e39b-913d-49f3-8e61-a5650442842f"
2	:ok	:generate	"4394e515-dcd8-4b2e-89d8-09d85f3de966"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"735cf6d1-a8b1-44dd-a0e6-138099987455"
0	:invoke	:generate	nil
2	:ok	:generate	"e6c2e163-7228-439d-8ff1-ca0cd27dac4b"
1	:invoke	:generate	nil
0	:ok	:generate	"b04219cb-4b94-4d2d-94ee-0c4f2f804aae"
1	:ok	:generate	"c5d17db8-ea77-43de-96c3-c50a75c4c70b"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"d7dfded9-80e1-46f9-ab44-003512e7bb17"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"cdf77c15-5cbb-4939-8f73-e201930e5cc9"
2	:invoke	:generate	nil
0	:ok	:generate	"f5c8eaa8-1be8-4f45-b45d-efa1032c6d35"
1	:ok	:generate	"61049434-28ff-4b6d-adfb-a8c2af9b45c1"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"53db8cce-8f3b-41c9-958c-a0242f1333c7"
0	:invoke	:generate	nil
1	:ok	:generate	"f31b31a9-7e42-4b87-b661-a96877168160"
2	:ok	:generate	"29f772a8-225b-48d7-8eda-e877532b3f12"
1	:invoke	:generate	nil
0	:ok	:generate	"b9d29b1e-a8e6-4435-b0f4-471a7448cb11"
2	:invoke	:generate	nil
1	:ok	:generate	"6aca7d81-3593-4e67-88c4-5b017daa7917"
2	:ok	:generate	"da9c2517-48d1-4952-8d6f-aa0706dc9659"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"90338ea1-2fae-45be-8f1c-dc0e94699354"
2	:invoke	:generate	nil
1	:ok	:generate	"cc5464d5-4af2-4ed6-8ff2-5a67729ae2ec"
2	:ok	:generate	"2cd4c2f0-d2be-44a1-acac-7e83f66ab839"
2	:invoke	:generate	nil
2	:ok	:generate	"2d5d6af9-3417-49c3-9e1b-8d1be50a57ae"
0	:invoke	:generate	nil
0	:ok	:generate	"461ad9a4-e605-415e-bdc0-f815a2b37198"
0	:invoke	:generate	nil
0	:ok	:generate	"f13b014d-fe99-4fe7-8686-b362d7aeee66"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"05c369b6-b677-4e75-8b4a-37404758277c"
0	:invoke	:generate	nil
